FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
"static int AccessOpen(vlc_object_t * obj, vcddev_t * dev)","1,2592592","0,25925925",1,0,54,7,7,2,2,1,0,0,False
unsigned vlc_CPU_raw(void),"6,8142853","3,2142856","3,4","0,2",70,45,207,5,17,7,1,3,True
"static void input_resource_PutVoutLocked(input_resource_t * p_resource, vout_thread_t * vout)","1,2413793","0,2413793",1,0,29,7,7,1,1,1,0,1,False
static void CloseDecoder(vlc_object_t * p_this),"1,1578947","0,15789473",1,0,19,3,3,1,1,1,0,0,False
static void D3D11_Destroy(d3d11_handle_t * hd3d),"3,9545455","1,4545455","1,5",1,11,8,16,2,3,3,2,2,True
"static int D3D11_Create(vlc_object_t * obj, d3d11_handle_t * hd3d)","4,2333336","1,7333333","1,5",1,30,26,62,2,3,3,2,2,True
"int vlc_socket(int pf, int type, int proto, bool nonblock)","3,9607842","2,2941177","1,3333334","0,33333334",17,13,23,3,4,3,1,1,True
"static int Enable(vout_window_t * wnd, const vout_window_cfg_t * restrict cfg)","2,637681","1,3043478","1,3333334",0,23,10,15,3,4,2,0,1,True
"VLC_TARGET static void I422_YVYU(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","6,4690475","3,8690476","1,6",1,84,65,111,5,8,4,5,2,True
"static int intf_Eject(vlc_object_t * p_this, const char * psz_device)","7,755555","4,5555553","2,6","0,6",45,41,136,5,13,4,3,4,True
"VLC_TARGET static void I420_YVYU(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","8,125","6,125","1,2857143","0,71428573",152,133,200,7,9,4,5,6,True
"static void msg_print(intf_thread_t * p_intf, const char * psz_fmt, ...)","1,9761904","0,47619048","1,5",0,21,5,9,2,3,2,0,1,False
"vlc_iconv_t vlc_iconv_open(const char * tocode, const char * fromcode)","7,434146","4,634146","1,8",1,41,38,103,5,9,5,5,3,True
"vcddev_toc_t * ioctl_GetTOC(vlc_object_t * p_this, const vcddev_t * p_vcddev, bool b_fill_sectorinfo)","11,936508","6,2222223","4,714286",1,252,224,1201,7,33,6,7,15,True
"static void SelectSwapchainColorspace(struct d3d11_local_swapchain * display, const libvlc_video_render_cfg_t * cfg)","1,3678161","0,3678161",1,0,87,32,32,1,1,1,0,0,False
"static int EsOutSend(es_out_t * out, es_out_id_t * id, block_t * block)","1,4166666","0,41666666",1,0,12,5,5,1,1,1,0,0,False
static void rootprocess(int fd),"1,8769231","0,8769231",1,0,65,19,19,3,3,1,0,0,False
"VLC_TARGET static void I420_YUY2(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","8,141935","6,1419353","1,2857143","0,71428573",155,136,203,7,9,4,5,6,True
"static int ParseSDPConnection(const char * str, struct sockaddr_storage * addr, socklen_t * addrlen, unsigned * number)","2,5641024","1,2307693",1,"0,33333334",39,16,19,3,3,2,1,0,True
"int vlc_socketpair(int pf, int type, int proto, int fds[2], bool nonblock)","4,166667","2,5","1,3333334","0,33333334",24,20,37,3,4,3,1,1,True
"static int EnableWindowLocked(vout_thread_t * vout, const video_format_t * original)","2,1538463","0,15384616",2,0,26,4,8,1,2,2,0,0,False
"static struct addrinfo * makeipv4info(int type, int proto, u_long ip, u_short port, const char * name)","1,2142857","0,21428572",1,0,14,3,3,1,1,1,0,0,False
"int dvb_set_dvbt2(dvb_device_t * d, uint32_t freq, const char * modstr, uint32_t fec, uint32_t bandwidth, int transmit_mode, uint32_t guard, uint8_t plp)","5,6048384","3,3548386","1,5","0,75",31,26,43,4,6,2,3,2,True
"static block_t * Encode(encoder_t * p_enc, subpicture_t * p_subpic)","1,1463414","0,14634146",1,0,82,6,6,2,2,1,0,0,False
"static void ParseHeader(decoder_t * p_dec, block_t * p_block)","1,2372881","0,23728813",1,0,59,14,14,1,1,1,0,1,False
"VLC_TARGET static void I422_UYVY(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","6,4690475","3,8690476","1,6",1,84,65,111,5,8,4,5,2,True
"vout_display_t * vout_OpenWrapper(vout_thread_t * vout, const char * splitter_name, const vout_display_cfg_t * cfg, vlc_video_context * vctx)","1,3","0,3",1,0,60,9,9,2,2,2,0,1,False
static void Destroy(input_thread_t * input),"1,2","0,2",1,0,25,5,5,1,1,1,0,1,False
static int64_t vlc_strtoi(const char * str),"1,2777778","0,2777778",1,0,18,5,5,1,1,1,0,0,False
"static void ASF_fillup_es_bitrate_priorities_ex(demux_sys_t * p_sys, void * p_hdr, asf_es_priorities_t * p_prios)","2,1904762","0,1904762",2,0,21,4,8,1,2,2,0,0,False
"static void ParserHeaderHandler(void * priv, enum webvtt_header_line_e s, bool b_new, const char * psz_line)","3,3423078","2,0923078",1,"0,25",65,34,37,4,4,2,1,0,True
"int vlc_accept(int lfd, struct sockaddr * addr, socklen_t * alen, bool nonblock)","4,0000005","2,3333335","1,3333334","0,33333334",18,14,24,3,4,3,1,1,True
static int GetSwsCpuMask(void),8,3,"2,5","2,5",20,15,63,4,10,8,10,1,True
"static int net_SourceSubscribe(vlc_object_t * obj, int fd, const struct sockaddr * src, socklen_t srclen, const struct sockaddr * grp, socklen_t grplen)","5,67029","3,4202898","1,75","0,5",69,59,173,4,7,5,2,3,True
"FILE * vlc_fopen(const char * filename, const char * mode)","1,1904762","0,1904762",1,0,42,8,8,1,1,1,0,0,False
VLC_WEAK unsigned vlc_CPU_raw(void),"18,431623","12,277778","3,3076923","2,8461537",90,85,509,13,43,23,37,20,True
void * rtp_dgram_thread(void * opaque),"1,6351352","0,13513513","1,5",0,74,5,9,2,3,2,0,1,False
static char * vlc_idna_to_ascii(const char * idn),"5,5030303","2,8363636","2,6666667",0,55,52,137,3,8,3,0,3,False
